context,actual_next_line,predicted_next_line,is_correct
"tensor([[21,  1, 20,  1, 12,  0]])","tensor([[23,  1, 20,  1, 21,  1,  7,  1, 16]])","tensor([[24,  1, 20,  1, 12,  0, 29, 30, 26]])",False
"tensor([[21,  1, 20,  1, 12,  0, 23,  1, 20,  1, 21,  1,  7,  1, 16,  0]])","tensor([[29, 30, 26, 27, 31,  3, 21,  1,  9,  1, 21,  4]])","tensor([[29, 30, 26, 27, 31,  3, 21,  1,  6,  1, 17,  4]])",False
"tensor([[21,  1, 20,  1, 12,  0, 23,  1, 20,  1, 21,  1,  7,  1, 16,  0, 29, 30,
         26, 27, 31,  3, 21,  1,  9,  1, 21,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[21,  1, 20,  1, 12,  0, 23,  1, 20,  1, 21,  1,  7,  1, 16,  0, 29, 30,
         26, 27, 31,  3, 21,  1,  9,  1, 21,  4,  0,  2,  1, 28, 32, 31, 29, 32,
         31,  0]])","tensor([[ 2,  1, 11,  8, 10]])","tensor([[ 2,  1, 11,  8, 10]])",True
"tensor([[21,  1, 20,  1, 16,  0]])","tensor([[22,  1, 20,  1, 17]])","tensor([[21,  1, 20,  1, 18]])",False
"tensor([[21,  1, 20,  1, 16,  0, 22,  1, 20,  1, 17,  0]])","tensor([[24,  1, 20,  1, 21,  1,  7,  1, 10]])","tensor([[21,  1, 20,  1, 17,  1,  6,  1, 11]])",False
"tensor([[21,  1, 20,  1, 16,  0, 22,  1, 20,  1, 17,  0, 24,  1, 20,  1, 21,  1,
          7,  1, 10,  0]])","tensor([[29, 30, 26, 27, 31,  3, 24,  4]])","tensor([[29, 30, 26, 27, 31,  3, 24,  4]])",True
"tensor([[21,  1, 20,  1, 16,  0, 22,  1, 20,  1, 17,  0, 24,  1, 20,  1, 21,  1,
          7,  1, 10,  0, 29, 30, 26, 27, 31,  3, 24,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[21,  1, 20,  1, 16,  0, 22,  1, 20,  1, 17,  0, 24,  1, 20,  1, 21,  1,
          7,  1, 10,  0, 29, 30, 26, 27, 31,  3, 24,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0]])","tensor([[ 2,  1, 16]])","tensor([[ 2,  1, 16]])",True
"tensor([[22,  1, 20,  1, 17,  0]])","tensor([[25,  1, 20,  1, 12]])","tensor([[23,  1, 20,  1, 18]])",False
"tensor([[22,  1, 20,  1, 17,  0, 25,  1, 20,  1, 12,  0]])","tensor([[22,  1, 20,  1, 10,  1,  5,  1, 17]])","tensor([[29, 30, 26, 27, 31,  3, 21,  4,  0]])",False
"tensor([[22,  1, 20,  1, 17,  0, 25,  1, 20,  1, 12,  0, 22,  1, 20,  1, 10,  1,
          5,  1, 17,  0]])","tensor([[29, 30, 26, 27, 31,  3, 22,  4]])","tensor([[29, 30, 26, 27, 31,  3, 22,  1]])",False
"tensor([[22,  1, 20,  1, 17,  0, 25,  1, 20,  1, 12,  0, 22,  1, 20,  1, 10,  1,
          5,  1, 17,  0, 29, 30, 26, 27, 31,  3, 22,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[22,  1, 20,  1, 17,  0, 25,  1, 20,  1, 12,  0, 22,  1, 20,  1, 10,  1,
          5,  1, 17,  0, 29, 30, 26, 27, 31,  3, 22,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0]])","tensor([[ 2,  1, 10]])","tensor([[ 2,  1, 10]])",True
"tensor([[23,  1, 20,  1, 19,  0]])","tensor([[25,  1, 20,  1, 14]])","tensor([[21,  1, 20,  1, 12]])",False
"tensor([[23,  1, 20,  1, 19,  0, 25,  1, 20,  1, 14,  0]])","tensor([[29, 30, 26, 27, 31,  3, 23,  1,  7,  1, 15,  4]])","tensor([[22,  1, 20,  1, 12,  1,  9,  1, 25,  0, 29, 30]])",False
"tensor([[23,  1, 20,  1, 19,  0, 25,  1, 20,  1, 14,  0, 29, 30, 26, 27, 31,  3,
         23,  1,  7,  1, 15,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[23,  1, 20,  1, 19,  0, 25,  1, 20,  1, 14,  0, 29, 30, 26, 27, 31,  3,
         23,  1,  7,  1, 15,  4,  0,  2,  1, 28, 32, 31, 29, 32, 31,  0]])","tensor([[ 2,  1, 14]])","tensor([[ 2,  1, 14]])",True
"tensor([[24,  1, 20,  1, 14,  0]])","tensor([[24,  1, 20,  1, 17,  1,  5,  1, 14]])","tensor([[21,  1, 20,  1, 17,  0, 25,  1, 20]])",False
"tensor([[24,  1, 20,  1, 14,  0, 24,  1, 20,  1, 17,  1,  5,  1, 14,  0]])","tensor([[29, 30, 26, 27, 31,  3, 24,  1,  5,  1, 24,  4]])","tensor([[29, 30, 26, 27, 31,  3, 24,  1,  7,  1, 14,  4]])",False
"tensor([[24,  1, 20,  1, 14,  0, 24,  1, 20,  1, 17,  1,  5,  1, 14,  0, 29, 30,
         26, 27, 31,  3, 24,  1,  5,  1, 24,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[24,  1, 20,  1, 14,  0, 24,  1, 20,  1, 17,  1,  5,  1, 14,  0, 29, 30,
         26, 27, 31,  3, 24,  1,  5,  1, 24,  4,  0,  2,  1, 28, 32, 31, 29, 32,
         31,  0]])","tensor([[ 2,  1, 17, 18, 14]])","tensor([[ 2,  1, 13, 14, 10]])",False
"tensor([[21,  1, 20,  1, 14,  0]])","tensor([[29, 30, 26, 27, 31,  3, 21,  1,  9,  1, 21,  4]])","tensor([[24,  1, 20,  1, 19,  0, 22,  1, 20,  1, 12,  0]])",False
"tensor([[21,  1, 20,  1, 14,  0, 29, 30, 26, 27, 31,  3, 21,  1,  9,  1, 21,  4,
          0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[21,  1, 20,  1, 14,  0, 29, 30, 26, 27, 31,  3, 21,  1,  9,  1, 21,  4,
          0,  2,  1, 28, 32, 31, 29, 32, 31,  0]])","tensor([[ 2,  1, 11,  8, 10]])","tensor([[ 2,  1, 11,  8, 10]])",True
"tensor([[25,  1, 20,  1, 13,  0]])","tensor([[22,  1, 20,  1, 14]])","tensor([[21,  1, 20,  1, 25]])",False
"tensor([[25,  1, 20,  1, 13,  0, 22,  1, 20,  1, 14,  0]])","tensor([[21,  1, 20,  1, 25,  1,  7,  1, 16]])","tensor([[29, 30, 26, 27, 31,  3, 22,  1,  7]])",False
"tensor([[25,  1, 20,  1, 13,  0, 22,  1, 20,  1, 14,  0, 21,  1, 20,  1, 25,  1,
          7,  1, 16,  0]])","tensor([[29, 30, 26, 27, 31,  3, 21,  4]])","tensor([[29, 30, 26, 27, 31,  3, 21,  4]])",True
"tensor([[25,  1, 20,  1, 13,  0, 22,  1, 20,  1, 14,  0, 21,  1, 20,  1, 25,  1,
          7,  1, 16,  0, 29, 30, 26, 27, 31,  3, 21,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[25,  1, 20,  1, 13,  0, 22,  1, 20,  1, 14,  0, 21,  1, 20,  1, 25,  1,
          7,  1, 16,  0, 29, 30, 26, 27, 31,  3, 21,  4,  0,  2,  1, 28, 32, 31,
         29, 32, 31,  0]])","tensor([[ 2,  1,  7, 13]])","tensor([[ 2,  1,  7, 13]])",True
"tensor([[24,  1, 20,  1, 15,  0]])","tensor([[24,  1, 20,  1, 19,  1,  7,  1, 17]])","tensor([[21,  1, 20,  1, 16,  0, 23,  1, 20]])",False
"tensor([[24,  1, 20,  1, 15,  0, 24,  1, 20,  1, 19,  1,  7,  1, 17,  0]])","tensor([[29, 30, 26, 27, 31,  3, 24,  4]])","tensor([[29, 30, 26, 27, 31,  3, 24,  4]])",True
"tensor([[24,  1, 20,  1, 15,  0, 24,  1, 20,  1, 19,  1,  7,  1, 17,  0, 29, 30,
         26, 27, 31,  3, 24,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[24,  1, 20,  1, 15,  0, 24,  1, 20,  1, 19,  1,  7,  1, 17,  0, 29, 30,
         26, 27, 31,  3, 24,  4,  0,  2,  1, 28, 32, 31, 29, 32, 31,  0]])","tensor([[ 2,  1, 12]])","tensor([[ 2,  1, 12]])",True
"tensor([[22,  1, 20,  1, 17,  0]])","tensor([[22,  1, 20,  1, 13,  1,  9,  1, 22]])","tensor([[21,  1, 20,  1, 17,  0, 22,  1, 20]])",False
"tensor([[22,  1, 20,  1, 17,  0, 22,  1, 20,  1, 13,  1,  9,  1, 22,  0]])","tensor([[29, 30, 26, 27, 31,  3, 22,  4]])","tensor([[29, 30, 26, 27, 31,  3, 22,  1]])",False
"tensor([[22,  1, 20,  1, 17,  0, 22,  1, 20,  1, 13,  1,  9,  1, 22,  0, 29, 30,
         26, 27, 31,  3, 22,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
"tensor([[22,  1, 20,  1, 17,  0, 22,  1, 20,  1, 13,  1,  9,  1, 22,  0, 29, 30,
         26, 27, 31,  3, 22,  4,  0,  2,  1, 28, 32, 31, 29, 32, 31,  0]])","tensor([[ 2,  1, 10,  8, 14, 12, 18, 15, 17, 11, 14, 12, 18, 15, 17, 11, 14, 12,
         18, 15, 15]])","tensor([[ 2,  1, 10,  8, 14, 12, 18, 15, 17, 11, 14, 12, 18, 15, 17, 11, 14, 12,
         18, 15, 15]])",True
"tensor([[21,  1, 20,  1, 19,  0]])","tensor([[22,  1, 20,  1, 21,  1,  6,  1, 21]])","tensor([[22,  1, 20,  1, 14,  0, 23,  1, 20]])",False
"tensor([[21,  1, 20,  1, 19,  0, 22,  1, 20,  1, 21,  1,  6,  1, 21,  0]])","tensor([[29, 30, 26, 27, 31,  3, 21,  1,  9,  1, 21,  4]])","tensor([[29, 30, 26, 27, 31,  3, 22,  4,  0,  2,  1, 28]])",False
"tensor([[21,  1, 20,  1, 19,  0, 22,  1, 20,  1, 21,  1,  6,  1, 21,  0, 29, 30,
         26, 27, 31,  3, 21,  1,  9,  1, 21,  4,  0]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])","tensor([[ 2,  1, 28, 32, 31, 29, 32, 31]])",True
